county.name	candidate.name	vote.percent	vote.count	state_fips	year
Autauga	Johnson	0	0	01	1964
Autauga	Goldwater	85.8	2969	01	1964
Autauga	Unpledged	14.2	490	01	1964
Baldwin	Johnson	0	0	01	1964
Baldwin	Goldwater	81.1	10870	01	1964
Baldwin	Unpledged	18.9	2530	01	1964
Barbour	Johnson	0	0	01	1964
Barbour	Goldwater	79.8	3853	01	1964
Barbour	Unpledged	20.2	978	01	1964
Bibb	Johnson	0	0	01	1964
Bibb	Goldwater	83.9	2623	01	1964
Bibb	Unpledged	16.1	502	01	1964
Blount	Johnson	0	0	01	1964
Blount	Goldwater	64.7	4442	01	1964
Blount	Unpledged	35.3	2427	01	1964
Bullock	Johnson	0	0	01	1964
Bullock	Goldwater	57.6	1516	01	1964
Bullock	Unpledged	42.4	1114	01	1964
Butler	Johnson	0	0	01	1964
Butler	Goldwater	80.4	4002	01	1964
Butler	Unpledged	19.6	973	01	1964
Calhoun	Johnson	0	0	01	1964
Calhoun	Goldwater	63.1	10635	01	1964
Calhoun	Unpledged	36.9	6210	01	1964
Chambers	Johnson	0	0	01	1964
Chambers	Goldwater	64.4	4630	01	1964
Chambers	Unpledged	35.6	2557	01	1964
Cherokee	Johnson	0	0	01	1964
Cherokee	Goldwater	49.7	1893	01	1964
Cherokee	Unpledged	50.3	1916	01	1964
Chilton	Johnson	0	0	01	1964
Chilton	Goldwater	76	5202	01	1964
Chilton	Unpledged	24	1645	01	1964
Choctaw	Johnson	0	0	01	1964
Choctaw	Goldwater	85.8	2497	01	1964
Choctaw	Unpledged	14.2	413	01	1964
Clarke	Johnson	0	0	01	1964
Clarke	Goldwater	82.8	4460	01	1964
Clarke	Unpledged	17.2	924	01	1964
Clay	Johnson	0	0	01	1964
Clay	Goldwater	70.1	2815	01	1964
Clay	Unpledged	29.9	1199	01	1964
Cleburne	Johnson	0	0	01	1964
Cleburne	Goldwater	76.2	2156	01	1964
Cleburne	Unpledged	23.8	672	01	1964
Coffee	Johnson	0	0	01	1964
Coffee	Goldwater	80.2	4910	01	1964
Coffee	Unpledged	19.8	1213	01	1964
Colbert	Johnson	0	0	01	1964
Colbert	Goldwater	48.6	5267	01	1964
Colbert	Unpledged	51.4	5573	01	1964
Conecuh	Johnson	0	0	01	1964
Conecuh	Goldwater	81.3	2782	01	1964
Conecuh	Unpledged	18.7	639	01	1964
Coosa	Johnson	0	0	01	1964
Coosa	Goldwater	72.8	1978	01	1964
Coosa	Unpledged	27.2	740	01	1964
Covington	Johnson	0	0	01	1964
Covington	Goldwater	82.3	7554	01	1964
Covington	Unpledged	17.7	1621	01	1964
Crenshaw	Johnson	0	0	01	1964
Crenshaw	Goldwater	78.7	3008	01	1964
Crenshaw	Unpledged	21.3	816	01	1964
Cullman	Johnson	0	0	01	1964
Cullman	Goldwater	58.3	7152	01	1964
Cullman	Unpledged	41.7	5110	01	1964
Dale	Johnson	0	0	01	1964
Dale	Goldwater	83.8	4970	01	1964
Dale	Unpledged	16.2	963	01	1964
Dallas	Johnson	0	0	01	1964
Dallas	Goldwater	89.1	5888	01	1964
Dallas	Unpledged	10.9	719	01	1964
DeKalb	Johnson	0	0	01	1964
DeKalb	Goldwater	57.7	6746	01	1964
DeKalb	Unpledged	42.3	4948	01	1964
Elmore	Johnson	0	0	01	1964
Elmore	Goldwater	83.8	6363	01	1964
Elmore	Unpledged	16.2	1233	01	1964
Escambia	Johnson	0	0	01	1964
Escambia	Goldwater	74.5	5623	01	1964
Escambia	Unpledged	25.5	1928	01	1964
Etowah	Johnson	0	0	01	1964
Etowah	Goldwater	59.1	12894	01	1964
Etowah	Unpledged	40.9	8939	01	1964
Fayette	Johnson	0	0	01	1964
Fayette	Goldwater	71.3	3203	01	1964
Fayette	Unpledged	28.7	1287	01	1964
Franklin	Johnson	0	0	01	1964
Franklin	Goldwater	56.4	4025	01	1964
Franklin	Unpledged	43.6	3110	01	1964
Geneva	Johnson	0	0	01	1964
Geneva	Goldwater	80.7	4502	01	1964
Geneva	Unpledged	19.3	1074	01	1964
Greene	Johnson	0	0	01	1964
Greene	Goldwater	65.7	1124	01	1964
Greene	Unpledged	34.3	587	01	1964
Hale	Johnson	0	0	01	1964
Hale	Goldwater	77.6	1898	01	1964
Hale	Unpledged	22.4	548	01	1964
Henry	Johnson	0	0	01	1964
Henry	Goldwater	83.1	2896	01	1964
Henry	Unpledged	16.9	589	01	1964
Houston	Johnson	0	0	01	1964
Houston	Goldwater	87.9	10353	01	1964
Houston	Unpledged	12.1	1421	01	1964
Jackson	Johnson	0	0	01	1964
Jackson	Goldwater	46.5	2730	01	1964
Jackson	Unpledged	53.5	3145	01	1964
Jefferson	Johnson	0	0	01	1964
Jefferson	Goldwater	72.6	100756	01	1964
Jefferson	Unpledged	27.4	38082	01	1964
Lamar	Johnson	0	0	01	1964
Lamar	Goldwater	72.4	2734	01	1964
Lamar	Unpledged	27.6	1041	01	1964
Lauderdale	Johnson	0	0	01	1964
Lauderdale	Goldwater	47.6	5978	01	1964
Lauderdale	Unpledged	52.4	6593	01	1964
Lawrence	Johnson	0	0	01	1964
Lawrence	Goldwater	50	1809	01	1964
Lawrence	Unpledged	50	1808	01	1964
Lee	Johnson	0	0	01	1964
Lee	Goldwater	78.7	5914	01	1964
Lee	Unpledged	21.3	1602	01	1964
Limestone	Johnson	0	0	01	1964
Limestone	Goldwater	44	2377	01	1964
Limestone	Unpledged	56	3027	01	1964
Lowndes	Johnson	0	0	01	1964
Lowndes	Goldwater	83.3	1548	01	1964
Lowndes	Unpledged	16.7	310	01	1964
Macon	Johnson	0	0	01	1964
Macon	Goldwater	38.5	1858	01	1964
Macon	Unpledged	61.5	2973	01	1964
Madison	Johnson	0	0	01	1964
Madison	Goldwater	51.9	14279	01	1964
Madison	Unpledged	48.1	13217	01	1964
Marengo	Johnson	0	0	01	1964
Marengo	Goldwater	82.3	3677	01	1964
Marengo	Unpledged	17.7	789	01	1964
Marion	Johnson	0	0	01	1964
Marion	Goldwater	69.4	3966	01	1964
Marion	Unpledged	30.6	1747	01	1964
Marshall	Johnson	0	0	01	1964
Marshall	Goldwater	56.3	5712	01	1964
Marshall	Unpledged	43.7	4428	01	1964
Mobile	Johnson	0	0	01	1964
Mobile	Goldwater	70.7	49493	01	1964
Mobile	Unpledged	29.3	20488	01	1964
Monroe	Johnson	0	0	01	1964
Monroe	Goldwater	81.4	3870	01	1964
Monroe	Unpledged	18.6	886	01	1964
Montgomery	Johnson	0	0	01	1964
Montgomery	Goldwater	75.5	23015	01	1964
Montgomery	Unpledged	24.5	7482	01	1964
Morgan	Johnson	0	0	01	1964
Morgan	Goldwater	56.6	7013	01	1964
Morgan	Unpledged	43.4	5368	01	1964
Perry	Johnson	0	0	01	1964
Perry	Goldwater	79.7	2046	01	1964
Perry	Unpledged	20.3	520	01	1964
Pickens	Johnson	0	0	01	1964
Pickens	Goldwater	82.1	3416	01	1964
Pickens	Unpledged	17.9	746	01	1964
Pike	Johnson	0	0	01	1964
Pike	Goldwater	84.5	4373	01	1964
Pike	Unpledged	15.5	803	01	1964
Randolph	Johnson	0	0	01	1964
Randolph	Goldwater	62.7	3127	01	1964
Randolph	Unpledged	37.3	1864	01	1964
Russell	Johnson	0	0	01	1964
Russell	Goldwater	76	4877	01	1964
Russell	Unpledged	24	1537	01	1964
St. Clair	Johnson	0	0	01	1964
St. Clair	Goldwater	70.8	4813	01	1964
St. Clair	Unpledged	29.2	1989	01	1964
Shelby	Johnson	0	0	01	1964
Shelby	Goldwater	75.7	6037	01	1964
Shelby	Unpledged	24.3	1943	01	1964
Sumter	Johnson	0	0	01	1964
Sumter	Goldwater	80.3	1653	01	1964
Sumter	Unpledged	19.7	405	01	1964
Talladega	Johnson	0	0	01	1964
Talladega	Goldwater	70.7	8946	01	1964
Talladega	Unpledged	29.3	3712	01	1964
Tallapoosa	Johnson	0	0	01	1964
Tallapoosa	Goldwater	76.1	5530	01	1964
Tallapoosa	Unpledged	23.9	1733	01	1964
Tuscaloosa	Johnson	0	0	01	1964
Tuscaloosa	Goldwater	68.7	13227	01	1964
Tuscaloosa	Unpledged	31.3	6036	01	1964
Walker	Johnson	0	0	01	1964
Walker	Goldwater	58.4	8582	01	1964
Walker	Unpledged	41.6	6110	01	1964
Washington	Johnson	0	0	01	1964
Washington	Goldwater	70.2	2803	01	1964
Washington	Unpledged	29.8	1191	01	1964
Wilcox	Johnson	0	0	01	1964
Wilcox	Goldwater	91.9	1789	01	1964
Wilcox	Unpledged	8.1	157	01	1964
Winston	Johnson	0	0	01	1964
Winston	Goldwater	71.2	3438	01	1964
Winston	Unpledged	28.8	1391	01	1964
District 1	Johnson	66.2	3041	02	1964
District 1	Goldwater	33.8	1554	02	1964
District 1	Unpledged	0	0	02	1964
District 2	Johnson	74.8	1378	02	1964
District 2	Goldwater	25.2	464	02	1964
District 2	Unpledged	0	0	02	1964
District 3	Johnson	72.8	1745	02	1964
District 3	Goldwater	27.2	651	02	1964
District 3	Unpledged	0	0	02	1964
District 4	Johnson	70.9	3762	02	1964
District 4	Goldwater	29.1	1545	02	1964
District 4	Unpledged	0	0	02	1964
District 5	Johnson	80.9	1056	02	1964
District 5	Goldwater	19.1	250	02	1964
District 5	Unpledged	0	0	02	1964
District 6	Johnson	66.7	990	02	1964
District 6	Goldwater	33.3	495	02	1964
District 6	Unpledged	0	0	02	1964
District 7	Johnson	56.3	1242	02	1964
District 7	Goldwater	43.7	963	02	1964
District 7	Unpledged	0	0	02	1964
District 8	Johnson	59.9	13537	02	1964
District 8	Goldwater	40.1	9051	02	1964
District 8	Unpledged	0	0	02	1964
District 9	Johnson	71.9	674	02	1964
District 9	Goldwater	28.1	264	02	1964
District 9	Unpledged	0	0	02	1964
District 10	Johnson	61.9	1627	02	1964
District 10	Goldwater	38.1	1000	02	1964
District 10	Unpledged	0	0	02	1964
District 11	Johnson	74.8	1183	02	1964
District 11	Goldwater	25.2	399	02	1964
District 11	Unpledged	0	0	02	1964
District 12	Johnson	85.5	731	02	1964
District 12	Goldwater	14.5	124	02	1964
District 12	Unpledged	0	0	02	1964
District 13	Johnson	77.7	931	02	1964
District 13	Goldwater	22.3	267	02	1964
District 13	Unpledged	0	0	02	1964
District 14	Johnson	87.5	1501	02	1964
District 14	Goldwater	12.5	214	02	1964
District 14	Unpledged	0	0	02	1964
District 15	Johnson	69.5	1366	02	1964
District 15	Goldwater	30.5	600	02	1964
District 15	Unpledged	0	0	02	1964
District 16	Johnson	59.6	6410	02	1964
District 16	Goldwater	40.4	4340	02	1964
District 16	Unpledged	0	0	02	1964
District 17	Johnson	82	1149	02	1964
District 17	Goldwater	18	252	02	1964
District 17	Unpledged	0	0	02	1964
District 18	Johnson	76.5	1371	02	1964
District 18	Goldwater	23.5	420	02	1964
District 18	Unpledged	0	0	02	1964
District 19	Johnson	89.2	635	02	1964
District 19	Goldwater	10.8	77	02	1964
District 19	Unpledged	0	0	02	1964
Apache	Johnson	52.5	2042	04	1964
Apache	Goldwater	47.5	1849	04	1964
Apache	Unpledged	0	0	04	1964
Apache	Other	0	1	04	1964
Cochise	Johnson	54.2	9045	04	1964
Cochise	Goldwater	45.8	7644	04	1964
Cochise	Unpledged	0	0	04	1964
Cochise	Other	0	8	04	1964
Coconino	Johnson	47.7	5270	04	1964
Coconino	Goldwater	52.2	5756	04	1964
Coconino	Unpledged	0	0	04	1964
Coconino	Other	0.1	11	04	1964
Gila	Johnson	64.7	6821	04	1964
Gila	Goldwater	35.2	3713	04	1964
Gila	Unpledged	0	0	04	1964
Gila	Other	0	3	04	1964
Graham	Johnson	51.2	2783	04	1964
Graham	Goldwater	48.8	2655	04	1964
Graham	Unpledged	0	0	04	1964
Greenlee	Johnson	73.5	3147	04	1964
Greenlee	Goldwater	26.5	1132	04	1964
Greenlee	Unpledged	0	0	04	1964
Maricopa	Johnson	46	122042	04	1964
Maricopa	Goldwater	53.9	143114	04	1964
Maricopa	Unpledged	0	0	04	1964
Maricopa	Other	0.1	170	04	1964
Mohave	Johnson	51.7	2243	04	1964
Mohave	Goldwater	48.2	2091	04	1964
Mohave	Unpledged	0	0	04	1964
Mohave	Other	0.1	5	04	1964
Navajo	Johnson	49.4	4770	04	1964
Navajo	Goldwater	50.5	4870	04	1964
Navajo	Unpledged	0	0	04	1964
Navajo	Other	0.1	9	04	1964
Pima	Johnson	53.4	54120	04	1964
Pima	Goldwater	46.4	46955	04	1964
Pima	Unpledged	0	0	04	1964
Pima	Other	0.2	203	04	1964
Pinal	Johnson	58.7	9911	04	1964
Pinal	Goldwater	41.2	6956	04	1964
Pinal	Unpledged	0	0	04	1964
Pinal	Other	0	5	04	1964
Santa Cruz	Johnson	56.5	1955	04	1964
Santa Cruz	Goldwater	43.4	1503	04	1964
Santa Cruz	Unpledged	0	0	04	1964
Santa Cruz	Other	0.1	2	04	1964
Yavapai	Johnson	42.4	5747	04	1964
Yavapai	Goldwater	57.2	7749	04	1964
Yavapai	Unpledged	0	0	04	1964
Yavapai	Other	0.4	60	04	1964
Yuma	Johnson	54.5	7857	04	1964
Yuma	Goldwater	45.4	6548	04	1964
Yuma	Unpledged	0	0	04	1964
Yuma	Other	0	5	04	1964
Arkansas	Johnson	45.8	3200	05	1964
Arkansas	Goldwater	53.9	3769	05	1964
Arkansas	Unpledged	0	0	05	1964
Arkansas	Other	0.3	21	05	1964
Ashley	Johnson	43.2	2901	05	1964
Ashley	Goldwater	55.8	3742	05	1964
Ashley	Unpledged	0	0	05	1964
Ashley	Other	1	67	05	1964
Baxter	Johnson	59.3	2900	05	1964
Baxter	Goldwater	40.6	1986	05	1964
Baxter	Unpledged	0	0	05	1964
Baxter	Other	0.1	5	05	1964
Benton	Johnson	48.5	5655	05	1964
Benton	Goldwater	51.3	5977	05	1964
Benton	Unpledged	0	0	05	1964
Benton	Other	0.3	30	05	1964
Boone	Johnson	56.7	3770	05	1964
Boone	Goldwater	43	2857	05	1964
Boone	Unpledged	0	0	05	1964
Boone	Other	0.3	19	05	1964
Bradley	Johnson	54.3	2229	05	1964
Bradley	Goldwater	45.1	1852	05	1964
Bradley	Unpledged	0	0	05	1964
Bradley	Other	0.5	21	05	1964
Calhoun	Johnson	60.7	1409	05	1964
Calhoun	Goldwater	38.3	889	05	1964
Calhoun	Unpledged	0	0	05	1964
Calhoun	Other	1	24	05	1964
Carroll	Johnson	48.8	2005	05	1964
Carroll	Goldwater	51.2	2105	05	1964
Carroll	Unpledged	0	0	05	1964
Chicot	Johnson	59.5	2916	05	1964
Chicot	Goldwater	40.2	1972	05	1964
Chicot	Unpledged	0	0	05	1964
